,donor,amount
0,Australia,113326452
1,Austria,64889838
2,Belgium,111934628
3,Brazil,168870
4,Canada,230201276
5,Chile,42331
6,Colombia,6798
7,Czech Republic,478161
8,Denmark,73318871
9,Finland,58701747
10,France,753988826
11,Germany,1886515406
12,Greece,12365358
13,Hungary,67660
14,Ireland,62048933
15,Italy,54258991
16,Japan,6678415466
17,Korea,57406444
18,Liechtenstein,683158
19,Luxembourg,10500063
20,Monaco,557753
21,Netherlands,282601334
22,New Zealand,10265910
23,Norway,97097060
24,Portugal,3647299
25,Spain,286736145
26,Sweden,149792624
27,Switzerland,105164588
28,Taiwan,348667
29,United Kingdom,1626407824
30,United States of America,2973664635
