code,year,amount
14020,1973,2256348
21030,1973,95792628
22020,1973,205122036
23020,1973,27825666
32120,1973,200776443
52010,1973,469868365
53030,1973,291886347
60040,1973,91510384
14020,1974,0
21030,1974,42563758
21050,1974,15256725
22020,1974,180475251
23020,1974,39880530
32120,1974,153995109
52010,1974,530014332
53030,1974,227194054
60040,1974,943286181
14020,1975,0
21030,1975,60080677
21050,1975,15829434
22020,1975,33166434
23020,1975,33166434
32120,1975,141256857
52010,1975,744845233
53030,1975,282632241
60040,1975,852823348
14020,1976,101006
16010,1976,22193818
21030,1976,65859994
22020,1976,101268177
23020,1976,0
32120,1976,180729570
52010,1976,842427145
53030,1976,154515986
60040,1976,498037225
14020,1977,45502785
21030,1977,60080677
21050,1977,704628
22020,1977,132007996
23020,1977,35041145
32120,1977,352523660
52010,1977,219575405
53030,1977,253556338
60040,1977,106446612
14020,1978,26344804
16010,1978,179918453
21030,1978,0
22020,1978,210273343
23020,1978,95676536
32120,1978,106052778
52010,1978,250709235
53030,1978,18579093
14020,1979,51741958
22020,1979,0
16010,1979,13638901
21030,1979,57275683
21050,1979,73420234
23020,1979,0
32120,1979,308650682
52010,1979,452657513
53030,1979,264125863
60040,1979,46760956
14020,1980,136725340
16010,1980,26972340
21030,1980,21776984
21050,1980,3088274857
22020,1980,514178514
23020,1980,1584877308
32120,1980,816335780
52010,1980,688226727
53030,1980,0
14020,1981,80637432
16010,1981,644673
21030,1981,230395196
21050,1981,4768108479
22020,1981,914341361
23020,1981,1149884633
32120,1981,634174424
52010,1981,1071047633
53030,1981,40653634
60040,1981,7430148
14020,1982,13763587
16010,1982,31654720
21030,1982,302371098
21050,1982,514466891
22020,1982,224573780
23020,1982,699994088
32120,1982,1370602905
52010,1982,241136145
53030,1982,113498832
14020,1983,199195924
16010,1983,24671997
21030,1983,441780960
21050,1983,218134010
22020,1983,79964594
23020,1983,211715759
32120,1983,334406639
52010,1983,226554766
53030,1983,86619358
60040,1983,8455921
14020,1984,278663483
16010,1984,19766810
21030,1984,475235242
21050,1984,976488278
22020,1984,215829973
23020,1984,680944122
32120,1984,1088866239
52010,1984,342344905
53030,1984,90227902
60040,1984,42752757
14020,1985,469390681
16010,1985,33496454
21030,1985,134596484
21050,1985,287676519
22020,1985,183388029
23020,1985,182940134
32120,1985,940204559
52010,1985,259282120
53030,1985,165302475
60040,1985,1020176687
14020,1986,418431285
16010,1986,14344384
21030,1986,34843304
21050,1986,695113150
22020,1986,168285454
23020,1986,102087624
