,donor,amount
0,Australia,86019620
1,Austria,14118133
2,Belgium,121376729
3,Brazil,168870
4,Canada,130649290
5,Chile,10280
6,Colombia,6798
7,Czech Republic,353371
8,Denmark,21232604
9,Finland,53172564
10,France,1494060517
11,Germany,2751194319
12,Greece,2764280
13,Hungary,67660
14,Iceland,133418
15,Ireland,46250371
16,Italy,62356139
17,Japan,7172294166
18,Korea,454729776
19,Liechtenstein,138191
20,Luxembourg,17314897
21,Monaco,557753
22,Netherlands,80670738
23,New Zealand,6774846
24,Norway,353665733
25,Poland,403184
26,Portugal,9225589
27,Slovak Republic,41147
28,Slovenia,14308
29,Spain,208258472
30,Sweden,122991389
31,Switzerland,114069447
32,Taiwan,348667
33,United Kingdom,1278612378
34,United States of America,2774523743
