,donor,recipient,value
231,Japan,India,48830067295
244,Japan,Thailand,35437690727
443,United Kingdom,India,19921976117
153,Germany,India,18017983208
158,Germany,Poland,17230746024
461,United States,Colombia,17104240812
471,United States,India,16529832819
458,United States,Brazil,13548341140
232,Japan,Korea,13029452754
475,United States,Korea,11154361995
224,Japan,Brazil,10406029105
476,United States,Kuwait,7727422143
295,Netherlands,India,6977708986
490,United States,South Africa,6678780430
494,United States,Thailand,6495636611
487,United States,Saudi Arabia,4440013519
131,France,India,4139074370
146,Germany,Brazil,4063216247
395,Sweden,India,3827796549
460,United States,Chile,3690681030
67,Canada,India,3659444746
124,France,Brazil,3297628513
483,United States,Poland,2508547257
321,Norway,India,2147933250
136,France,Poland,2005432347
102,Denmark,India,2004368952
142,France,South Africa,1901701859
452,United Kingdom,South Africa,1862114265
203,Italy,Brazil,1843859410
413,Switzerland,India,1839499003
164,Germany,South Africa,1784147995
166,Germany,Thailand,1702275036
126,France,Colombia,1680107102
403,Sweden,South Africa,1416545325
226,Japan,Colombia,1414487282
147,Germany,Chile,1365472828
72,Canada,Poland,1307586093
148,Germany,Colombia,1238911524
210,Italy,India,1237117872
242,Japan,South Africa,1176312073
13,Australia,Thailand,1162746092
314,Norway,Brazil,1070847764
370,Spain,Colombia,1066811913
144,France,Thailand,1049660923
6,Australia,India,982075862
254,Kuwait,India,893157410
305,Netherlands,South Africa,840526986
249,Korea,India,838979022
78,Canada,Thailand,836611055
46,Belgium,Poland,800330632
355,Saudi Arabia,India,759651342
436,United Kingdom,Brazil,713312502
225,Japan,Chile,703444054
154,Germany,Korea,691327750
329,Norway,South Africa,689555304
62,Canada,Colombia,671086359
290,Netherlands,Colombia,642223602
42,Belgium,India,561481858
104,Denmark,Thailand,489489466
454,United Kingdom,Thailand,434207101
125,France,Chile,423553789
103,Denmark,South Africa,411760384
239,Japan,Saudi Arabia,373261027
77,Canada,South Africa,370099631
60,Canada,Brazil,344019962
51,Belgium,South Africa,340304159
368,Spain,Brazil,312007477
391,Sweden,Colombia,309592487
205,Italy,Colombia,306112843
316,Norway,Colombia,299650983
408,Switzerland,Colombia,291509810
421,Switzerland,South Africa,273016890
375,Spain,India,271820536
257,Kuwait,Thailand,260887969
11,Australia,South Africa,240893012
438,United Kingdom,Colombia,215435718
35,Belgium,Brazil,212928735
369,Spain,Chile,211911806
447,United Kingdom,Poland,209349961
246,Korea,Brazil,204472350
122,Finland,South Africa,198796278
354,Saudi Arabia,Brazil,191647004
405,Sweden,Thailand,184052641
115,Finland,India,182512666
390,Sweden,Chile,177465428
204,Italy,Chile,169818458
21,Austria,India,162421492
358,Saudi Arabia,Thailand,156480316
132,France,Korea,148847642
423,Switzerland,Thailand,143029761
330,Norway,Thailand,136378534
356,Saudi Arabia,Korea,134511154
306,Netherlands,Thailand,129993723
289,Netherlands,Chile,127976174
123,Finland,Thailand,126195858
236,Japan,Poland,116688443
22,Austria,Korea,111526265
220,Italy,South Africa,106916806
61,Canada,Chile,106773387
252,Korea,Thailand,105821945
37,Belgium,Colombia,102867692
406,Switzerland,Brazil,95419283
399,Sweden,Poland,94176270
380,Spain,Poland,88269401
407,Switzerland,Chile,87963745
288,Netherlands,Brazil,87040487
248,Korea,Colombia,85662550
33,Austria,Thailand,73958508
36,Belgium,Chile,59867040
215,Italy,Poland,57102621
315,Norway,Chile,56575551
53,Belgium,Thailand,53295601
14,Austria,Brazil,52226511
139,France,Saudi Arabia,43705887
247,Korea,Chile,43598915
222,Italy,Thailand,34627069
100,Denmark,Chile,33407149
26,Austria,Poland,33184327
437,United Kingdom,Chile,29636288
31,Austria,South Africa,29251443
389,Sweden,Brazil,26653699
109,Finland,Brazil,25810862
111,Finland,Colombia,23761728
133,France,Kuwait,21944819
251,Korea,South Africa,20345015
16,Austria,Colombia,20231447
385,Spain,South Africa,19495582
300,Netherlands,Poland,14269465
161,Germany,Saudi Arabia,14096654
118,Finland,Poland,12233233
1,Australia,Chile,11512013
396,Sweden,Kuwait,11228374
0,Australia,Brazil,10843457
2,Australia,Colombia,10565816
110,Finland,Chile,9423678
7,Australia,Korea,7599604
211,Italy,Korea,7324360
387,Spain,Thailand,7072193
15,Austria,Chile,6426788
155,Germany,Kuwait,5859569
233,Japan,Kuwait,4397148
68,Canada,Korea,3865408
444,United Kingdom,Korea,3243556
99,Denmark,Brazil,3184580
101,Denmark,Colombia,3146117
417,Switzerland,Poland,3141751
324,Norway,Poland,2504790
28,Austria,Saudi Arabia,2145296
376,Spain,Korea,685941
449,United Kingdom,Saudi Arabia,671150
296,Netherlands,Korea,491792
212,Italy,Kuwait,327910
217,Italy,Saudi Arabia,277701
414,Switzerland,Korea,249214
302,Netherlands,Saudi Arabia,227521
326,Norway,Saudi Arabia,195375
250,Korea,Saudi Arabia,167923
23,Austria,Kuwait,124190
297,Netherlands,Kuwait,60454
43,Belgium,Korea,52608
120,Finland,Saudi Arabia,38710
377,Spain,Kuwait,20232
74,Canada,Saudi Arabia,16166
382,Spain,Saudi Arabia,14214
48,Belgium,Saudi Arabia,9103
9,Australia,Saudi Arabia,7575
8,Australia,Poland,3046
69,Canada,Kuwait,1568
