,recipient,donor,coalesced_purpose_name,amount
75,India,Australia,Industrial development,24434534
76,India,Australia,Power generation/non-renewable sources,3917484
77,India,Australia,Rail transport,2671116
78,India,Austria,Industrial development,7202447
79,India,Austria,Power generation/non-renewable sources,8081078
80,India,Belgium,Industrial development,223779
81,India,Belgium,Power generation/non-renewable sources,859652
82,India,Canada,Air transport,14224407
83,India,Canada,Industrial development,54685827
84,India,Canada,Power generation/non-renewable sources,19357050
85,India,Canada,Rail transport,159410
86,India,Denmark,Industrial development,160372258
87,India,Finland,Industrial development,31746338
88,India,France,Air transport,93048552
89,India,France,Industrial development,736412685
90,India,France,Power generation/non-renewable sources,238543251
91,India,France,Rail transport,165780050
92,India,Germany,Industrial development,1768993054
93,India,Germany,Power generation/non-renewable sources,1564258419
94,India,Germany,Rail transport,284985226
95,India,Italy,Industrial development,254284699
96,India,Japan,Industrial development,2540561929
97,India,Japan,Power generation/non-renewable sources,4087006797
98,India,Japan,Rail transport,11519785524
99,India,Kuwait,Industrial development,131175647
100,India,Kuwait,Power generation/non-renewable sources,149282062
101,India,Netherlands,Air transport,704628
102,India,Netherlands,Industrial development,50767936
103,India,Netherlands,Power generation/non-renewable sources,724396
104,India,Netherlands,Rail transport,42065271
105,India,Norway,Air transport,2316419
106,India,Norway,Industrial development,160646315
107,India,Norway,Power generation/non-renewable sources,322
108,India,Saudi Arabia,Rail transport,79371799
109,India,Spain,Air transport,6797785
110,India,Spain,Industrial development,1386496
111,India,Spain,Rail transport,19497
112,India,Sweden,Industrial development,12572753
113,India,Sweden,Power generation/non-renewable sources,26060699
114,India,Sweden,Rail transport,4306879
115,India,Switzerland,Industrial development,76369785
116,India,United Kingdom,Air transport,226060281
117,India,United Kingdom,Industrial development,141881911
118,India,United Kingdom,Power generation/non-renewable sources,621381168
119,India,United Kingdom,Rail transport,214915085
120,India,United States,Air transport,2273859378
121,India,United States,Industrial development,1295117393
122,India,United States,Power generation/non-renewable sources,1518862446
123,India,United States,Rail transport,35997362
